Department_A,Bugs,,,Vulnerabilities
,Blocker,Critical,Major,Blocker,Critical,Major
Java Web App,8,0,8,8,2,0
Java Web App,8,0,8,6,3,0
Javascript App,0,0,1,1,0,0
